2021-49-09 18:49:03.690 [restartedMain] INFO  c.c.t.m.MedicalStoreManagementSystemApplication - Starting MedicalStoreManagementSystemApplication using Java 1.8.0_291 on LTIN195005 with PID 3968 (C:\Users\908143\eclipse-workspace-06\medical-store-management-system\target\classes started by 908143 in C:\Users\908143\eclipse-workspace-06\medical-store-management-system)
2021-49-09 18:49:05.995 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-49-09 18:49:06.168 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-49-09 18:49:06.231 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8998 (http) with context path ''
2021-49-09 18:49:06.236 [restartedMain] INFO  c.c.t.m.MedicalStoreManagementSystemApplication - Started MedicalStoreManagementSystemApplication in 2.663 seconds (JVM running for 2582.425)
2021-49-09 18:49:06.236 [restartedMain] INFO  o.s.b.a.ApplicationAvailabilityBean - Application availability state LivenessState changed to CORRECT
2021-49-09 18:49:06.238 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2021-49-09 18:49:06.239 [restartedMain] INFO  o.s.b.a.ApplicationAvailabilityBean - Application availability state ReadinessState changed to ACCEPTING_TRAFFIC
2021-49-09 18:49:06.239 [restartedMain] INFO  c.c.t.m.MedicalStoreManagementSystemApplication - Info log
2021-49-09 18:49:06.239 [restartedMain] WARN  c.c.t.m.MedicalStoreManagementSystemApplication - Hey, This is a warning!
2021-49-09 18:49:06.239 [restartedMain] ERROR c.c.t.m.MedicalStoreManagementSystemApplication - Oops! We have an Error. OK
2021-49-09 18:49:06.240 [restartedMain] ERROR c.c.t.m.MedicalStoreManagementSystemApplication - Damn! Fatal error. Please fix me.
2021-52-09 18:52:28.782 [Thread-35] INFO  o.s.b.a.ApplicationAvailabilityBean - Application availability state ReadinessState changed from ACCEPTING_TRAFFIC to REFUSING_TRAFFIC
2021-52-09 18:52:29.203 [Thread-35] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2021-52-09 18:52:29.205 [Thread-35] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-7 - Shutdown initiated...
2021-52-09 18:52:29.278 [Thread-35] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-7 - Shutdown completed.
2021-52-09 18:52:29.735 [restartedMain] INFO  c.c.t.m.MedicalStoreManagementSystemApplication - Starting MedicalStoreManagementSystemApplication using Java 1.8.0_291 on LTIN195005 with PID 3968 (C:\Users\908143\eclipse-workspace-06\medical-store-management-system\target\classes started by 908143 in C:\Users\908143\eclipse-workspace-06\medical-store-management-system)
2021-52-09 18:52:29.736 [restartedMain] INFO  c.c.t.m.MedicalStoreManagementSystemApplication - No active profile set, falling back to default profiles: default
2021-52-09 18:52:30.621 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2021-52-09 18:52:30.807 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 182 ms. Found 5 JPA repository interfaces.
2021-52-09 18:52:31.342 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8998 (http)
2021-52-09 18:52:31.345 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-52-09 18:52:31.345 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-52-09 18:52:31.405 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-52-09 18:52:31.406 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1666 ms
2021-52-09 18:52:31.552 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2021-52-09 18:52:31.567 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-8 - Starting...
2021-52-09 18:52:31.567 [restartedMain] WARN  c.z.hikari.util.DriverDataSource - Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
2021-52-09 18:52:31.653 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-8 - Start completed.
2021-52-09 18:52:31.654 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
2021-52-09 18:52:32.137 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-52-09 18:52:32.137 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-52-09 18:52:32.753 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-52-09 18:52:33.108 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-52-09 18:52:33.218 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8998 (http) with context path ''
2021-52-09 18:52:33.230 [restartedMain] INFO  c.c.t.m.MedicalStoreManagementSystemApplication - Started MedicalStoreManagementSystemApplication in 3.599 seconds (JVM running for 2789.423)
2021-52-09 18:52:33.233 [restartedMain] INFO  o.s.b.a.ApplicationAvailabilityBean - Application availability state LivenessState changed to CORRECT
2021-52-09 18:52:33.236 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2021-52-09 18:52:33.238 [restartedMain] INFO  o.s.b.a.ApplicationAvailabilityBean - Application availability state ReadinessState changed to ACCEPTING_TRAFFIC
2021-52-09 18:52:33.238 [restartedMain] INFO  c.c.t.m.MedicalStoreManagementSystemApplication - Info log
2021-52-09 18:52:33.239 [restartedMain] WARN  c.c.t.m.MedicalStoreManagementSystemApplication - Hey, This is a warning!
2021-52-09 18:52:33.239 [restartedMain] ERROR c.c.t.m.MedicalStoreManagementSystemApplication - Oops! We have an Error. OK
2021-52-09 18:52:33.239 [restartedMain] ERROR c.c.t.m.MedicalStoreManagementSystemApplication - Damn! Fatal error. Please fix me.
2021-52-09 18:52:34.482 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
2021-52-09 18:52:34.483 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.b.a.ApplicationAvailabilityBean - Application availability state ReadinessState changed from ACCEPTING_TRAFFIC to REFUSING_TRAFFIC
2021-52-09 18:52:34.791 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2021-52-09 18:52:34.792 [RMI TCP Connection(2)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-8 - Shutdown initiated...
